Espece,Diametre minimum du chapeau,Diametre maximum du chapeau,Couleur du chapeau,Forme du chapeau,Surface du chapeau,Type de marge,Couleur de la marge,Dessous du chapeau,Couleur au dessous du chapeau,Oxydation du chapeau,Couleur de l oxydation du chapeau,Mode d insertion du dessous du chapeau avec le pied,Espace entre les lamelles,Type de lamelles,Couleur du pied,Pïed creux ou plein,Forme du pied,Longueur du pied,Surface su pied,Position du pied par rapport au chapeau,Presence d un anneau,Orientation de l anneau,Mobilite de l anneau,Couleur de l anneau,Poussee en touffe,Couleur de la base du pied,Couleur de la chair,Oxydation de la chair,Couleur de l oxydation,Fermete de la chair,Odeur,Latex,Couleur du latex,Mois de poussees le plus tot,Mois de poussees le plus tard,Milieu,Pousse sur du bois ou non,Nom vernaculaire,Comestibilite,Commentaires,Synonymes,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acetabula vulgaris,0,0,,,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Pezize vulgaire,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus abruptibulbus,8,12,blanc,,ecailleuse ; mechuleuse ; squameuse,,,lamelles,gris ; rouge ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune,,anis ; agreable,non,,juin ; janvier,octobre ; decembre,coniferes,non,Psalliote a pied bulbeux,comestible,Peut etre confondu avec Agaricus silvicola (psalliote des bois),Agaricus essetei,;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus xanthoderma,6,14,blanc,hemispherique ; campanule ; convexe ; plan ; mamelonne,lisse ; glabre,,,lamelles,rose ; brun ; noir ; gris,presence d oxydation,jaune ;,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,lisse ; glabre ; seche ;,centrale,oui,descendant,mobile,blanc ;,non,,blanc,oui,jaune,,iodee ; desagreable,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes ; prairies ; pres ; pelouses,non,Agaric jaunissant ;" Psalliote jaunissante,toxique,""Contrairement a Agaricus campestris, (rose des pres), Agaricus xanthoderma (psalliote jaunissante) jaunit a la base du pied et ne sent pas bon. On peut ajouter un peu d'eau de javel afin de mieux reveler son oxydation. Il peut egalement etre confondu avec Agaricus essetei et Agaricus silvicola dont l'odeur rappelle celle de l'anis"",Psalliota xanthoderma,";;;;;;;;;;;;
Agrocybe aegerita,0,15,blanc,hemispherique ; convexe ; plan,ridee ; sillonnee ; striee  ; lisse ; glabre,,,lamelles,blanc ; creme ; brun ;,absence d oxydation,,adnees ; decurrentes ;,serrees,normal ; separees par des lamelles,blanc,pied plein,cylindrique ; tubulaire,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Pholiote du peuplier,bon comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;
Agrocybe praecox,3,7,blanc ; brun,,lisse ; glabre ; lisse ; glabre,,,lamelles,blanc ; brun ; gris ;,absence d oxydation,,echancrees ; emarginees,serrees,normal ;,blanc ; gris ;,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; sinueux ; arque ; coude ; irregulier ; torsade,,fibrileuse ;,centrale,oui,ascendant,mobile,,non,,blanc,non,,,farine ;,non,,mai ; janvier,juillet ; decembre,feuillus ; coniferes,non,Pholiote precoce,comestible,,,;;;;;;;;;;;;;;;
Aleuria aurantia,2,10,rouge ; orange,hemispherique ; convexe ; plan,lisse ; glabre,irreguliere ; ondulee,,ni lamelles ni tubes,rouge ; orange,absence d oxydation,,,,,,pied plein,absent,,,centrale,non,,,,non,,blanc,non,,,faible ;,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes ; pelouses ;,non,Pezize orangee,mauvais comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albatrellus ovinus,0,0,,coupe ; receptacle ; autres formes,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Polypore des brebis,non comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alternaria solani,0,0,,,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,,non comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita caesarea,0,0,,,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanites des Cesars,bon comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita ceciliae,7,15,brun,,visqueuse ; glutineuse ; gluante ; brilante,striee,plus claire,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,gris ; brun ;,pied plein,cylindrique ; tubulaire ; bulbeux ; volve ;,,marbre ; reseau ; reticule ;,centrale,non,,,,non,grise,blanc ; grise,non,,,faible ; agreable,non,,juin ; janvier,septembre ; decembre,feuillus ; coniferes,non,Amanite doree ;" Amanite etranglee,comestible,""Son chapeau est couvert de tâches grises, les restes de son voile"",Amanita inaurata,";;;;;;;;;;;;;;;;;;;;;
Amanita citrina,4,10,jaune ; vert ; blanc ;,hemispherique ; campanule ; convexe ; etale ;,visqueuse ; glutineuse ; gluante ; floconneuse,,,lamelles,blanc ; jaune,absence d oxydation,,libres,serrees,normal ;,blanc ; jaune ;,pied plein puis creux,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,non,,,patate crue ;,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite citrine ; Oronge cigue jaunatre,toxique,Son odeur de pomme de terre crue est assez caracteristique,,;;;;;;;;;;
Amanita crocea,0,0,,hemispherique ; convexe ; etale,,,,lamelles,blanc,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite safran,mauvais comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
