id_champi;nom
257;Cystolepiota bucknallii
258;Cystolepiota hetieri
259;Dacrymyces stillatus
260;Daedalea confragosa
261;Daedalea quercina
262;Daedaleopsis confragosa
263;Daldinia concentrica
264;Dasyscyphus bicolor
265;Dasyscyphus corticalis
266;Datronia mollis
267;Delicatula integrella
268;Dendropolyporus varius
269;Dermocybe aureifolia
270;Dermocybe cinnabarina
271;Dermocybe cinnamomeolutea
272;Dermocybe concinna
273;Dermocybe phoenicea
274;Dermocybe sanguinea
275;Dermocybe semi-sanguinea
276;Diatrype bullata
277;Discina perlata
278;Disciotis venosa
279;Ditiola peziziformis
280;Drosophila hydrophila
281;Drosophila velutina
282;Dryodon coralloides
283;Dumontinia tuberosa
284;Echinoderma asperum
285;Elaphomyces granulatus
286;Encoelia furfuracea
287;Entoloma cetratum
288;Entoloma clypeatum
289;Entoloma dichroum
290;Entoloma dysthaloides
291;Entoloma incanum
292;Entoloma lividoalbum
293;Entoloma lividum
294;Entoloma majaloides
295;Entoloma mougeotii
296;Entoloma nitidum
297;Entoloma pleopodium
298;Entoloma porphyrophaeum
299;Entoloma rhodopolium
300;Entoloma saepium
301;Entoloma saundersii
302;Entoloma sericeum
303;Entoloma serrulatum
304;Entoloma sinuatum
305;Entoloma vernum
306;Exidia cartilaginea
307;Exidia glandulosa
308;Exidia plana
309;Exidia truncata
310;Exobasidium vaccinii
311;Faerberia carbonaria
312;Fayodia maura
313;Fistulina hepatica
314;Flammulina velutipes
315;Fomes annosus
316;Fomes fomentarius
317;Fomitopsis officinalis
318;Fomitopsis pinicola
319;Fomitopsis rosea
320;Fuligo septica
321;Funalia trogii
322;Funalia versicolor
323;Galerina autumnalis
324;Galerina hypnorum
325;Galerina marginata
326;Galerina triscopa
327;Ganoderma applanatum
328;Ganoderma carnosum
329;Ganoderma europaeum
330;Ganoderma lipsiense
331;Ganoderma lucidum
332;Ganoderma resinaceum
333;Geastrum corollinum
334;Geastrum coronatum
335;Geastrum fimbriatum
336;Geastrum fornicatum
337;Geastrum pectinatum
338;Geastrum quadrifidum
339;Geastrum recolligens
340;Geastrum rufescens
341;Geastrum striatum
342;Geastrum triplex
343;Geastrum vulgatum
344;Geophila sublateritia
345;Geopora sumneriana
346;Geopyxis carbonaria
347;Gloeophyllum abietinum
348;Gloeophyllum odoratum
349;Gloeophyllum sepiarium
350;Gloiodon strigosus
351;Gomphidius glutinosus
352;Gomphidius helveticus
353;Gomphidius maculatus
354;Gomphidius roseus
355;Gomphidius rutilus
356;Gomphidius viscidus
357;Gomphus clavatus
358;Grifola frondosa
359;Grifola umbellata
360;Gymnopilus bellulus
361;Gymnopilus hybridus
362;Gymnopilus junonius
363;Gymnopilus penetrans
364;Gymnopilus sapineus
365;Gymnopilus spectabilis
366;Gymnopilus spumosa
367;Gymnopilus squarrosa
368;Gymnopus aquosus
369;Gymnopus confluens
370;Gymnopus cookei
371;Gymnopus dryophila
372;Gymnopus dryophilus
373;Gymnopus fusipes
374;Gymnopus maculata
375;Gymnopus peronatus
376;Gymnopus tuberosa
377;Gyrodon lividus
378;Gyromitra esculenta
379;Gyromitra gigas
380;Gyromitra infula
381;Gyroporus castaneus
382;Gyroporus cyanescens
383;Handkea excipuliformis
384;Handkea utriformis
385;Hapalopilus croceus
386;Hapalopilus nidulans
387;Hapalopilus rutilans
388;Hebeloma crustiliniforme
389;Hebeloma latifolium
390;Hebeloma mesophaeum
391;Hebeloma radicosum
392;Hebeloma sinapizans
393;Helotium fagineum
394;Helvella acetabulum
395;Helvella atra
396;Helvella crispa
397;Helvella elastica
398;Helvella lacunosa
399;Helvella leucomelaena
400;Helvella macropus
401;Helvella queletii
402;Hemimycena candida
403;Hemipholiota populnea
404;Hericium clathroides
405;Hericium coralloides
406;Hericium erinaceum
407;Hericium flagellum
408;Heterobasidion annosum
409;Heyderia abietis
410;Hirneola auricula-judae
411;Hirschioporus abietinus
412;Hirschioporus fuscoviolaceus
413;Hohenbuehelia abietina
414;Hohenbuehelia petaloides
415;Holwaya mucida
416;Humaria hemisphaerica
417;Hydnellum concrescens
418;Hydnellum ferrugineum
419;Hydnellum peckii
420;Hydnellum scrobiculatum
421;Hydnellum suaveolens
422;Hydnotrya michaelis
423;Hydnum repandum
424;Hydnum rufescens
425;hydrophorus marzuolus
426;Hydropus subalpinus
427;Hygrocybe aurantiolutescens
428;Hygrocybe aurantiosplendens
429;Hygrocybe aurantioviscida
430;Hygrocybe calciphila
431;Hygrocybe calyptriformis
432;Hygrocybe ceracea
433;Hygrocybe chlorophana
434;Hygrocybe cinereifolia
435;Hygrocybe coccinea
436;Hygrocybe coccineocrenata
437;Hygrocybe conica
438;Hygrocybe conicoides
439;Hygrocybe euroflavescens
440;Hygrocybe flavescens
441;Hygrocybe fornicata
442;Hygrocybe glutinipes
443;Hygrocybe intermedia
444;Hygrocybe konradii
445;Hygrocybe laeta
446;Hygrocybe lepida
447;Hygrocybe marchii
448;Hygrocybe miniata
449;Hygrocybe mucronella
450;Hygrocybe obrussea
451;Hygrocybe olivaceonigra
452;Hygrocybe ovina
453;Hygrocybe paraceracea
454;Hygrocybe perplexa
455;Hygrocybe persistens
456;Hygrocybe phaeococcinea
457;Hygrocybe pratensis
458;Hygrocybe pseudoconica
459;Hygrocybe psittacina
460;Hygrocybe punicea
461;Hygrocybe quieta
462;Hygrocybe reae
463;Hygrocybe reidii
464;Hygrocybe riparia
465;Hygrocybe salicis-herbaceae
466;Hygrocybe spadicea
467;Hygrocybe splendidissima
468;Hygrocybe subminutula
469;Hygrocybe tristis
470;Hygrocybe turunda
471;Hygrocybe unguinosa
472;Hygrocybe virginea
473;Hygrocybe vitellina
474;Hygrophoropsis aurantiaca
475;Hygrophorus agathosmus
476;Hygrophorus arbustivus
477;Hygrophorus atramentosus
478;Hygrophorus calophyllus
479;Hygrophorus camarophyllus
480;Hygrophorus capreolarius
481;Hygrophorus chrysodon
482;Hygrophorus conicus
483;Hygrophorus cossus
484;Hygrophorus discoideus
485;Hygrophorus discoxanthus
486;Hygrophorus eburneus
487;Hygrophorus erubescens
488;Hygrophorus fagi
489;Hygrophorus gliocyclus
490;Hygrophorus hedrychii
491;Hygrophorus hypothejus
492;Hygrophorus karstenii
493;Hygrophorus leucophaeo-ilicis
494;Hygrophorus leucophaeus
495;Hygrophorus limacinus
496;Hygrophorus lindtneri
497;Hygrophorus lucorum
498;Hygrophorus marzuolus
499;Hygrophorus nemoreus
500;Hygrophorus niveus
501;Hygrophorus olivaceoalbus
502;Hygrophorus penarius
503;hygrophorus poetarum
504;Hygrophorus pseudodiscoideus
505;Hygrophorus psittacinus
506;Hygrophorus pudorinus
507;hygrophorus puniceus
508;Hygrophorus purpurascens
509;Hygrophorus pustulatus
510;Hygrophorus queletii
511;Hygrophorus russula
512;Hygrophorus speciosus
513;Hymenochaete rubiginosa
514;Hymenochaete tabacina
515;Hymenoscyphus fagineus
516;Hyphoderma radula
517;Hypholoma candolleana
518;Hypholoma capnoides
519;Hypholoma elongatum
520;Hypholoma fasciculare
521;Hypholoma marginatum
522;Hypholoma radicosum
523;Hypholoma sublateritium
524;Hypocrea gelatinosa
525;Hypoxylon fragiforme
526;Hypoxylon howeanum
527;Inocybe asterospora
528;Inocybe bongardii
529;Inocybe cookei
530;Inocybe corydalina
531;Inocybe dulcamara
532;Inocybe fastigiata
533;Inocybe fraudans
534;Inocybe geophylla
535;Inocybe godeyi
536;Inocybe haemacta
537;Inocybe hirtella
538;Inocybe jurana
539;Inocybe lacera
540;Inocybe lanuginosa
541;Inocybe maculata
542;Inocybe margaritispora
543;Inocybe napipes
544;Inocybe patouillardii
545;Inocybe perlata
546;Inocybe petiginosa
547;Inocybe pusio
548;Inocybe rimosa
549;Inocybe umbratica
550;Inocybe whitei
551;Inonotus dryadeus
552;Inonotus hispidus
553;Inonotus obliquus
554;Inonotus radiatus
555;Ischnoderma benzoinum
556;Ischnoderma resinosum
557;Kuehneromyces nameko
558;Kuehneromyces spectabilis
559;Laccaria amethystea
560;Laccaria bicolor
561;Laccaria laccata
562;Laccaria laccata fulva
563;Laccaria proxima
564;Laccaria tortilis
565;Lachnellula willkommii
566;Lachnum fuscescens
567;Lachnum virgineum
568;Lacrimaria lacrimabunda
569;Lactarius azonites
570;Lactarius badiosanguineus
571;Lactarius bertillonii
572;Lactarius blennius
573;Lactarius camphoratus
574;Lactarius chrysorrheus
575;Lactarius circellatus
576;Lactarius controversus
577;Lactarius deliciosus
578;Lactarius deterrimus
579;Lactarius flavidus
580;Lactarius fluens
581;Lactarius fuliginosus
582;Lactarius fulvissimus
583;Lactarius fuscus
584;Lactarius glaucescens
585;Lactarius glyciosmus
586;Lactarius helvus
587;Lactarius indigo
588;Lactarius lignyotus
589;Lactarius mitissimus
590;Lactarius necator
591;Lactarius omphaliformis
592;Lactarius pallidus
593;Lactarius pergamenus
594;Lactarius picinus
595;Lactarius piperatus
596;Lactarius plumbeus
597;Lactarius porninsis
598;Lactarius pubescens
599;Lactarius pyrogalus
600;Lactarius quietus
601;Lactarius repraesentanus
602;Lactarius rufus
603;Lactarius salmonicolor
604;Lactarius sanguifluxus
605;Lactarius scrobiculatus
606;Lactarius semisanguifluus
607;Lactarius serifluus
608;Lactarius spinosulus
609;Lactarius subdulcis
610;Lactarius tabidus
611;Lactarius theiogalus
612;Lactarius torminosus
613;Lactarius uvidus
614;Lactarius vellereus
615;Lactarius vietus
616;Lactarius volemus
617;Lactarius zonarius
618;Laeticorticium roseum
619;Laetiporus sulfureus
620;Laetiporus sulphureus
621;Langermania gigantea
622;Lanzia luteovirescens
623;Laricifomes officinalis
624;Leccinum aurantiacum
625;Leccinum brunneogriseolum
626;Leccinum carpini
627;Leccinum crocipodium
628;Leccinum decipiens
629;Leccinum duriusculum
630;Leccinum griseum
631;Leccinum holopus
632;Leccinum lepidum
633;Leccinum melaneum
634;Leccinum nigrescens
635;Leccinum nucatum
636;Leccinum quercinum
637;Leccinum scabrum
638;Leccinum testaceoscabrum
639;Leccinum variicolor
640;Leccinum versipelle
641;Lentinellus castoreus
642;Lentinellus cochleatus
643;Lentinellus ursinus
644;Lentinula edodes
645;Lentinus adhaerens
646;Lentinus conchatus
647;Lentinus tigrinus
648;Lenzites betulina
649;Lenzites betulinus
650;Leocarpus fragilis
651;Leotia lubrica
652;Lepiota aspera
653;Lepiota bresadolae
654;Lepiota brunneoincarnata
655;Lepiota castanea
656;Lepiota clypeolaria
